description,category
BURGER KING,Food
ZOMATO ORDER,Food
BURGER KING,Food
ZOMATO ORDER,Food
BURGER KING,Food
ZOMATO ORDER,Food
KFC ORDER,Food
ZOMATO ORDER,Food
DOMINOS PIZZA,Food
SWIGGY ORDER,Food
SWIGGY ORDER,Food
ZOMATO ORDER,Food
SWIGGY ORDER,Food
BURGER KING,Food
BURGER KING,Food
KFC ORDER,Food
DOMINOS PIZZA,Food
DOMINOS PIZZA,Food
SWIGGY ORDER,Food
ZOMATO ORDER,Food
BURGER KING,Food
BURGER KING,Food
KFC ORDER,Food
KFC ORDER,Food
DOMINOS PIZZA,Food
SWIGGY ORDER,Food
DOMINOS PIZZA,Food
ZOMATO ORDER,Food
BURGER KING,Food
BURGER KING,Food
KFC ORDER,Food
ZOMATO ORDER,Food
BURGER KING,Food
SWIGGY ORDER,Food
DOMINOS PIZZA,Food
DOMINOS PIZZA,Food
SWIGGY ORDER,Food
BURGER KING,Food
DOMINOS PIZZA,Food
BURGER KING,Food
SWIGGY ORDER,Food
KFC ORDER,Food
DOMINOS PIZZA,Food
BURGER KING,Food
SWIGGY ORDER,Food
DOMINOS PIZZA,Food
ZOMATO ORDER,Food
DOMINOS PIZZA,Food
BURGER KING,Food
BURGER KING,Food
SWIGGY ORDER,Food
BURGER KING,Food
SWIGGY ORDER,Food
SWIGGY ORDER,Food
BURGER KING,Food
SWIGGY ORDER,Food
KFC ORDER,Food
SWIGGY ORDER,Food
DOMINOS PIZZA,Food
ZOMATO ORDER,Food
SWIGGY ORDER,Food
KFC ORDER,Food
SWIGGY ORDER,Food
SWIGGY ORDER,Food
BURGER KING,Food
SWIGGY ORDER,Food
BURGER KING,Food
KFC ORDER,Food
DOMINOS PIZZA,Food
KFC ORDER,Food
SWIGGY ORDER,Food
BURGER KING,Food
SWIGGY ORDER,Food
BURGER KING,Food
SWIGGY ORDER,Food
ZOMATO ORDER,Food
KFC ORDER,Food
ZOMATO ORDER,Food
DOMINOS PIZZA,Food
KFC ORDER,Food
BURGER KING,Food
ZOMATO ORDER,Food
BURGER KING,Food
BURGER KING,Food
KFC ORDER,Food
ZOMATO ORDER,Food
KFC ORDER,Food
ZOMATO ORDER,Food
ZOMATO ORDER,Food
BURGER KING,Food
KFC ORDER,Food
SWIGGY ORDER,Food
BURGER KING,Food
KFC ORDER,Food
KFC ORDER,Food
DOMINOS PIZZA,Food
SWIGGY ORDER,Food
DOMINOS PIZZA,Food
SWIGGY ORDER,Food
ZOMATO ORDER,Food
KFC ORDER,Food
KFC ORDER,Food
ZOMATO ORDER,Food
DOMINOS PIZZA,Food
SWIGGY ORDER,Food
SWIGGY ORDER,Food
KFC ORDER,Food
ZOMATO ORDER,Food
BURGER KING,Food
ZOMATO ORDER,Food
KFC ORDER,Food
ZOMATO ORDER,Food
SWIGGY ORDER,Food
BURGER KING,Food
DOMINOS PIZZA,Food
SWIGGY ORDER,Food
SWIGGY ORDER,Food
BURGER KING,Food
ZOMATO ORDER,Food
BURGER KING,Food
ZOMATO ORDER,Food
BURGER KING,Food
BURGER KING,Food
SWIGGY ORDER,Food
KFC ORDER,Food
ZOMATO ORDER,Food
DOMINOS PIZZA,Food
SWIGGY ORDER,Food
SWIGGY ORDER,Food
SWIGGY ORDER,Food
SWIGGY ORDER,Food
KFC ORDER,Food
SWIGGY ORDER,Food
DOMINOS PIZZA,Food
SWIGGY ORDER,Food
DOMINOS PIZZA,Food
DOMINOS PIZZA,Food
ZOMATO ORDER,Food
SWIGGY ORDER,Food
SWIGGY ORDER,Food
BURGER KING,Food
DOMINOS PIZZA,Food
KFC ORDER,Food
ZOMATO ORDER,Food
BURGER KING,Food
KFC ORDER,Food
KFC ORDER,Food
SWIGGY ORDER,Food
KFC ORDER,Food
DOMINOS PIZZA,Food
DOMINOS PIZZA,Food
DOMINOS PIZZA,Food
ZOMATO ORDER,Food
DOMINOS PIZZA,Food
KFC ORDER,Food
ZOMATO ORDER,Food
DOMINOS PIZZA,Food
KFC ORDER,Food
ZOMATO ORDER,Food
DOMINOS PIZZA,Food
DOMINOS PIZZA,Food
SWIGGY ORDER,Food
DOMINOS PIZZA,Food
KFC ORDER,Food
DOMINOS PIZZA,Food
KFC ORDER,Food
KFC ORDER,Food
